,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
34,2018-10-29,sh.600000,8.4831582400,8.5137833600,8.1998758800,8.2611261200,8.3606577600,35265959,385116491.0000,2,0.125485,1,-1.190477,0
35,2018-10-30,sh.600000,8.3683140400,8.4601894000,8.3376889200,8.3836266000,8.2611261200,33086049,363018055.0000,2,0.117728,1,1.482853,0
36,2018-10-31,sh.600000,8.4142517200,8.4448768400,8.3223763600,8.4065954400,8.3836266000,21737114,237583046.0000,2,0.077346,1,0.273970,0
37,2018-11-01,sh.600000,8.4601894000,8.4908145200,8.3147200800,8.3376889200,8.4065954400,23505322,257781673.0000,2,0.083638,1,-0.819665,0
38,2018-11-02,sh.600000,8.4984708000,8.6133150000,8.3759703200,8.5597210400,8.3376889200,47788920,530913675.0000,2,0.170045,1,2.662993,0
39,2018-11-05,sh.600000,8.5367522000,8.6133150000,8.4831582400,8.5290959200,8.5597210400,17012759,189481162.0000,2,0.060536,1,-0.357781,0
40,2018-11-06,sh.600000,8.5214396400,8.5367522000,8.4219080000,8.4448768400,8.5290959200,18422477,203565760.0000,2,0.065552,1,-0.987438,0
41,2018-11-07,sh.600000,8.4908145200,8.4984708000,8.3223763600,8.3453452000,8.4448768400,20843864,228836505.0000,2,0.074168,1,-1.178605,0
42,2018-11-08,sh.600000,8.4601894000,8.4984708000,8.3453452000,8.4678456800,8.3453452000,19991683,220506116.0000,2,0.071135,1,1.467897,0
43,2018-11-09,sh.600000,8.4142517200,8.4448768400,8.1922196000,8.2305010000,8.4678456800,25570050,277004944.0000,2,0.090984,1,-2.802897,0
44,2018-11-12,sh.600000,8.2458135600,8.3836266000,8.2305010000,8.2687824000,8.2305010000,27015827,292478247.0000,2,0.096129,1,0.465118,0
45,2018-11-13,sh.600000,8.1769070400,8.3453452000,8.1769070400,8.2840949600,8.2687824000,20708729,223541479.0000,2,0.073687,1,0.185181,0
46,2018-11-14,sh.600000,8.3223763600,8.3223763600,8.1769070400,8.1922196000,8.2840949600,17998183,193809658.0000,2,0.064042,1,-1.109056,0
47,2018-11-15,sh.600000,8.2075321600,8.2764386800,8.1539382000,8.2458135600,8.1922196000,16580059,178144575.0000,2,0.058996,1,0.654212,0
48,2018-11-16,sh.600000,8.2458135600,8.3070638000,8.1998758800,8.2381572800,8.2458135600,21394417,230509596.0000,2,0.076127,1,-0.092853,0
49,2018-11-19,sh.600000,8.3147200800,8.3453452000,8.2458135600,8.3300326400,8.2381572800,21384793,231999662.0000,2,0.076092,1,1.115241,0
50,2018-11-20,sh.600000,8.3223763600,8.3376889200,8.1539382000,8.1845633200,8.3300326400,21883780,234959214.0000,2,0.077868,1,-1.746328,0
51,2018-11-21,sh.600000,8.1233130800,8.2075321600,8.1233130800,8.1615944800,8.1845633200,16027458,170915676.0000,2,0.057030,1,-0.280634,0
52,2018-11-22,sh.600000,8.2151884400,8.2151884400,8.0926879600,8.1462819200,8.1615944800,14008305,148745106.0000,2,0.049845,1,-0.187613,0
53,2018-11-23,sh.600000,8.1156568000,8.1615944800,8.0390940000,8.0390940000,8.1462819200,14715010,155566104.0000,2,0.052360,1,-1.315793,0
54,2018-11-26,sh.600000,8.1615944800,8.1615944800,7.9855000400,8.0390940000,8.0390940000,14377396,151609376.0000,2,0.051158,1,0.000000,0
55,2018-11-27,sh.600000,8.0390940000,8.1233130800,8.0008126000,8.0314377200,8.0390940000,15084666,158853285.0000,2,0.053675,1,-0.095240,0
56,2018-11-28,sh.600000,8.0850316800,8.1309693600,8.0390940000,8.1003442400,8.0314377200,18339621,193914889.0000,2,0.065257,1,0.857962,0
57,2018-11-29,sh.600000,8.1462819200,8.2305010000,8.0697191200,8.1386256400,8.1003442400,20685685,220670065.0000,2,0.073605,1,0.472592,0
58,2018-11-30,sh.600000,8.1539382000,8.2305010000,8.1309693600,8.1998758800,8.1386256400,28572651,305468672.0000,2,0.101668,1,0.752586,0
59,2018-12-03,sh.600000,8.4142517200,8.4601894000,8.2994075200,8.4372205600,8.1998758800,43049070,472438382.0000,2,0.153179,1,2.894495,0
60,2018-12-04,sh.600000,8.4219080000,8.4831582400,8.3989391600,8.4831582400,8.4372205600,20811293,229713745.0000,2,0.074052,1,0.544460,0
61,2018-12-05,sh.600000,8.4142517200,8.4984708000,8.3912828800,8.4219080000,8.4831582400,25491217,281189602.0000,2,0.090704,1,-0.722021,0
